Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
6,"AM Reid, SD Fuhlendorf","Fire management in the national wildlife refuge system: a case study of the Charles M. Russell National Wildlife Refuge, Montana",2011,"Rangelands","BioOne","https://bioone.org/journals/Rangelands/volume-33/issue-2/1551-501X-33.2.17/Fire-Management-in-the-National-Wildlife-Refuge-System--A/10.2111/1551-501X-33.2.17.full","https://scholar.google.com/scholar?cites=13517403767911892307&as_sdt=80000005&sciodt=0,23&hl=en",1,"2021-02-22","","","","",,,,,6,0.60,3,2,10
0,"KG Boykin, R Guy, M Calkins…","Modeling wildlife habitat throughout the Western United States: A prototype for use in Gap Analysis",2012,"… Fish and Wildlife …","researchgate.net","https://www.researchgate.net/profile/Kenneth_Boykin/publication/237228362_Modeling_wildlife_habitat_throughout_the_Western_United_States_A_prototype_for_use_in_Gap_Analysis/links/02e7e526ee22e70c00000000.pdf","",2,"2021-02-22","PDF","","","",,,,,0,0.00,0,4,9
79,"CL Burdett, KR Crooks, DM Theobald, KR Wilson…","Interfacing models of wildlife habitat and human development to predict the future distribution of puma habitat",2010,"…","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/ES10-00005.1","https://scholar.google.com/scholar?cites=13071115932752567293&as_sdt=80000005&sciodt=0,23&hl=en",3,"2021-02-22","","","","",,,,,79,7.18,16,5,11
3,"SB Pearman-Gillman, JE Katz, RM Mickey…","Predicting wildlife distribution patterns in New England USA with expert elicitation techniques",2020,"Global Ecology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2351989419304433","https://scholar.google.com/scholar?cites=16697325979042481764&as_sdt=80000005&sciodt=0,23&hl=en",4,"2021-02-22","HTML","","","",,,,,3,3.00,1,4,1
0,"E Julianus, TN Hollingsworth, AD McGuire…","AVAILABILITY AND USE OF MOOSE BROWSE IN RESPONSE TO POST-FIRE SUCCESSION ON KANUTI NATIONAL WILDLIFE REFUGE, ALASKA",2020,"Alces: A Journal …","alcesjournal.org","https://www.alcesjournal.org/alces/index.php/alces/article/view/231","",5,"2021-02-22","","","","",,,,,0,0.00,0,4,1
25,"NM Tarr, MJ Rubino, JK Costanza…","Projected gains and losses of wildlife habitat from bioenergy‐induced landscape change",2017,"GCB …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcbb.12383","https://scholar.google.com/scholar?cites=5352427415891381716&as_sdt=80000005&sciodt=0,23&hl=en",6,"2021-02-22","","","","",,,,,25,6.25,6,4,4
9,"CT Ray, BG Dickson, TD Sisk, SE Sesnie","Spatial application of a predictive wildlife occurrence model to assess alternative forest management scenarios in northern Arizona",2014,"Forest ecology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378112714001467","https://scholar.google.com/scholar?cites=14147172674583850674&as_sdt=80000005&sciodt=0,23&hl=en",7,"2021-02-22","","","","",,,,,9,1.29,2,4,7
28,"J Clare, ST McKinney, JE DePue…","Pairing field methods to improve inference in wildlife surveys while accommodating detection covariance",2017,"Ecological …","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/eap.1587","https://scholar.google.com/scholar?cites=10803430200578045238&as_sdt=80000005&sciodt=0,23&hl=en",8,"2021-02-22","","","","",,,,,28,7.00,7,4,4
49,"CA Schultz, TD Sisk, BR Noon…","Wildlife conservation planning under the United States Forest Service's 2012 planning rule",2013,"The Journal of Wildlife …","Wiley Online Library","https://wildlife.onlinelibrary.wiley.com/doi/abs/10.1002/jwmg.513","https://scholar.google.com/scholar?cites=2128980557231020375&as_sdt=80000005&sciodt=0,23&hl=en",9,"2021-02-22","","","","",,,,,49,6.13,12,4,8
16,"KT Shoemaker, LJ Heffelfinger, NJ Jackson…","A machine‐learning approach for extending classical wildlife resource selection analyses",2018,"Ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.3936","https://scholar.google.com/scholar?cites=15883298179423459974&as_sdt=80000005&sciodt=0,23&hl=en",10,"2021-02-22","","","","",,,,,16,5.33,4,4,3
